accn,category,date,box_original,box_new,description,
2023.01.01,bodice,1875,1,1A.1,black satin,
2023.01.02,bodice,1890,1,1A.1,purple w black lace,
2023.01.03,bodice,1880,1,1A.1,cream inset + velvet lapels,
2023.01.04,cape,1875,1,2C.3,black velvet - shedding,
2023.01.05,bodice,1880,1,1A.1,black floral broacade,
2023.01.06,bodice,1890,1,1A.1,black w cream paisley stripes,
2023.01.07,skirt,1890,1,1B.1,cream figured silk,
2023.01.08,bodice,1895,1,1A.1,big sleeves tiny buttons,
2023.01.09,bodice,1890,1,1A.1,dark green pintuck sleeves,
2023.01.10,bodice,1890,1,1A.1,"purple, black, green",
2023.01.11,belt,NA,1,1A.1,purple belt,
2023.02.01,dress,1910,2,2C.1,black sheer w red underlay and fringe,
2023.02.02,bodice,1890,2,DEACC,black w brown lining --> deaccessioned,
2023.02.03,jacket,NA,2,2A.2,black crepe Kimono-style jacket,
2023.02.04,dress,1855,2,2B.2,"brown plaid taffeta with significant modern alterations; has label sewn to bodice interior that says ""1835""",
2023.02.05,belt,NA,2,2B.2,"brown, coordinates with 2023.02.04",
2023.02.06,skirt,1890,2,DEACC,black satin --> deaccessioned,
2023.02.07,skirt,1900,2,1B.1,black swiss dot,
2023.02.08,skirt,NA,2,1B.1,black ,
2023.02.09,cape,1870,2,2A.2,black velvet w satin ruffles,
2023.03.01,corset cover,1870,3,1D.3,"white, no sleeves",
2023.03.02,corset cover,1860,3,1D.3,"white, puff sleeves",
2023.03.03,dress,1905,3,2A.3,cream cotton w embroidery + lace,
2023.03.04,bodice,1890,3,1C.2,pink and brown/black stripes,
2023.03.05,cape,1880,3,2A.1,"black figured velvet, ripped shoulders; labeled",
2023.03.06,skirt,1900,3,1B.1,black chiffon w pintucks/pleats,
2023.03.07,jacket,1900,3,2A.2,heavy wool brocade,
2023.03.08,bodice,1880,3,1C.2,black velvet w cream lace,
2023.03.09,cape,1880,3,2A.1,black burnout velvet w fringe; labeled,
2023.03.10,skirt,1900,3,1B.1,black lightweight wool w ribbon trim,
2023.03.11,cape,1930,3,COSTUMES,peach satin --> where did this go???,
2023.03.12,bodice,1890,3,1C.2,black velvet w black soutache,
2023.03.13,cape,1860,3,2A.1,dark green/black wool w fringe; labeled,
2023.04.01,dress,1920,4,2B.1,cream chiffon with green trim,
2023.04.02,dress,1920,4,2B.1,grey-green chiffon with beading,
2023.04.03,muff,NA,4,2B.3,brown wool (not quilted/padded) with tassels,
2023.04.04,belt,NA,4,2B.3,brown with black velvet polka dots,
2023.04.05,belt,1900,4,2B.3,tan ruched belt with boning,
2023.04.06,sash,1910,4,2B.3,cream satin with fringe,
2023.04.07,belt,NA,4,2B.3,black pintucked wool,
2023.04.08,stole,NA,4,2B.3,"navy polka dot silk, quilted",
2023.04.09,skirt,1900,4,1D.2,"tan crepe, sheer",
2023.04.10,dress,1930,4,2C.1,black velvet and lace,
2023.04.11,skirt,1890,4,DEACC,black with woven zig-zag pattern --> deaccessioned,
2023.04.12,skirt,1910,4,DEACC,"black shiny satin --> likely modern, check with Chris about deaccessioning",
2023.04.13,petticoat,NA,4,1D.2,"black heavy cotton with ruffles, drawstring",
2023.04.14,skirt,1895,4,1D.2,"black silk with subtle woven grid pattern, ruffles",
2023.04.15,skirt,1900,4,1D.2,rust velvet and cream floral brocade,
2023.04.16,skirt,NA,4,2B.2,green and brown plaid --> needs to get housed with bodice,
2023.04.17,skirt,NA,4,DEACC,"grey, modern trim --> deaccessioned",
2023.05.01,skirt,1900,5,1C.1,black net,
2023.05.02,skirt,1900,5,1C.1,black woven diamond/squiggle texture,
2023.05.03,skirt,1900,5,1C.1,dark green wool w black satin trim,
2023.05.04,skirt,1900,5,1C.1,brown satin skirt w black ruffle,
2023.05.05,dress,NA,5,DEACC,Black bodice and skirt --> deaccessioned,
2023.06.01,bodice,1903,6,2A.1,black w tiny soutache and pintucks; labeled,
2023.06.02,bodice,1890,6,DEACC,"Deaccessioned --> velvet bodice with lace/beaded sleeves, added zipper and modern alterations",
2023.06.03,bodice,1860,6,2B.2,"Green/brown plaid, added zipper; labeled",
2023.06.04,coat,1900,6,DEACC,"Blue silk coat, label ""Mon Lodeaux, Paris""; deaccessioned due to fabric deterioration",
2023.06.05,bodice,1880,6,DEACC,"Black with woven dots/lines, pin-tucked sleeves; deaccessioned",
2023.06.06,bodice,1900,6,1C.2,Black satin w cream lace + pink ribbons,
2023.06.07,skirt,1865,6,1D.1,"greenish-tan silk with vertical ruffle trim, matches 2023.12.04",
2023.06.08,cap,NA,6,1D.3,off-white sheer cap w embroidered stripes,
2023.06.09,dress,NA,6,DEACC,Gold slip with black mesh --> deaccessioned,
2023.06.10,dress,NA,6,DEACC,Pink sleeveless dress with feathers and sequins --> deaccessioned,
2023.06.11,costume piece,NA,6,DEACC,Teal satin Greek chiton-style tunic front with gold trim --> deaccessioned,
2023.06.12,dress,1910,6,1B.3,Black chiffon evening gown w cream silk lining + very heavy beading on bodice,
2023.06.13,fabric,NA,6,DEACC,Disassembled cream lace skirt --> deaccessioned,
2023.06.14,overskirt,1900,6,1B.1,Black taffeta overskirt w velvet ribbon trim making bow shapes,
2023.06.15,dress,1930,6,2A.3,cream lace,
2023.06.16,cape,NA,6,DEACC,black w beaded flowers + lace --> deaccessioned,
2023.07.01,capelet,NA,7,1B.2,black curly wool,
2023.07.02,coat,1920,7,1B.2,black velvet with shawl collar,
2023.07.03,coat,1890,7,1B.2,black wool with fringe and soutache,
2023.07.04,skirt,1910,7,2B.2,"sheer black, pleats, ribbon trim",
2023.08.01,jacket,1900,8,2A.1,navy velvet; labelled,
2023.08.02,duster coat,1920,8,1B.2,tan double breasted,
2023.08.03,jacket,1910,8,2A.2,big floral lace,
2023.08.04,coat,1900,8,2A.2,heavy satin,
2023.08.05,jacket,1910,8,2A.1,all-over braid; labeled,
