accn,category,box_original,box_new
2023.01.01,bodice,1,1A.1
2023.01.02,bodice,1,1A.1
2023.01.03,bodice,1,1A.1
2023.01.04,cape,1,2C.3
2023.01.05,bodice,1,1A.1
2023.01.06,bodice,1,1A.1
2023.01.07,skirt,1,1B.1
2023.01.08,bodice,1,1A.1
2023.01.09,bodice,1,1A.1
2023.01.10,bodice,1,1A.1
2023.01.11,belt,1,1A.1
2023.02.01,dress,2,2C.1
2023.02.02,bodice,2,DEACC
2023.02.03,jacket,2,2A.2
2023.02.04,dress,2,2B.2
2023.02.05,belt,2,2B.2
2023.02.06,skirt,2,DEACC
2023.02.07,skirt,2,1B.1
2023.02.08,skirt,2,1B.1
2023.02.09,cape,2,2A.2
2023.03.01,corset cover,3,1D.3
2023.03.02,corset cover,3,1D.3
2023.03.03,dress,3,2A.3
2023.03.04,bodice,3,1C.2
2023.03.05,cape,3,2A.1
2023.03.06,skirt,3,1B.1
2023.03.07,jacket,3,2A.2
2023.03.08,bodice,3,1C.2
2023.03.09,cape,3,2A.1
2023.03.10,skirt,3,1B.1
2023.03.11,cape,3,COSTUMES
2023.03.12,bodice,3,1C.2
2023.03.13,cape,3,2A.1
2023.04.01,dress,4,2B.1
2023.04.02,dress,4,2B.1
2023.04.03,muff,4,2B.3
2023.04.04,belt,4,2B.3
2023.04.05,belt,4,2B.3
2023.04.06,sash,4,2B.3
2023.04.07,belt,4,2B.3
2023.04.08,stole,4,2B.3
2023.04.09,skirt,4,1D.2
2023.04.10,dress,4,2C.1
2023.04.11,skirt,4,DEACC
2023.04.12,skirt,4,DEACC
2023.04.13,petticoat,4,1D.2
2023.04.14,skirt,4,1D.2
2023.04.15,skirt,4,1D.2
2023.04.16,skirt,4,2B.2
2023.04.17,skirt,4,DEACC
2023.05.01,skirt,5,1C.1
2023.05.02,skirt,5,1C.1
2023.05.03,skirt,5,1C.1
2023.05.04,skirt,5,1C.1
2023.05.05,dress,5,DEACC
2023.06.01,bodice,6,2A.1
2023.06.02,bodice,6,DEACC
2023.06.03,bodice,6,2B.2
2023.06.04,coat,6,DEACC
2023.06.05,bodice,6,DEACC
2023.06.06,bodice,6,1C.2
2023.06.07,skirt,6,1D.1
2023.06.08,cap,6,1D.3
2023.06.09,dress,6,DEACC
2023.06.10,dress,6,DEACC
2023.06.11,costume piece,6,DEACC
2023.06.12,dress,6,1B.3
2023.06.13,fabric,6,DEACC
2023.06.14,overskirt,6,1B.1
2023.06.15,dress,6,2A.3
2023.06.16,cape,6,DEACC
2023.07.01,capelet,7,1B.2
2023.07.02,coat,7,1B.2
2023.07.03,coat,7,1B.2
2023.07.04,skirt,7,2B.2
2023.08.01,jacket,8,2A.1
2023.08.02,duster coat,8,1B.2
2023.08.03,jacket,8,2A.2
2023.08.04,coat,8,2A.2
2023.08.05,jacket,8,2A.1
2023.08.06,duster coat,8,1B.2
2023.09.01,fabric,9,DEACC
2023.09.02,nightgown,9,1D.3
2023.09.03,coat,9,1B.2
2023.09.04,dress,9,2D.1
2023.09.05,dress,9,2C.1
2023.09.06,dress,9,1C.3
2023.09.07,dress,9,CHRIS
2023.09.08,dress,9,2C.1
2023.09.09,dress,9,CHRIS
2023.09.10,jacket,9,CHRIS
2023.09.11,dress,9,1C.3
2023.09.12,dress,9,1C.3
2023.09.13,dress,9,2D.1
2023.09.14,dress,9,DEACC
2023.10.01,skirt,10,1C.1
2023.10.02,skirt,10,1C.1
2023.10.03,skirt,10,2C.2
2023.10.04,skirt,10,2C.2
2023.10.05,skirt,10,2C.2
2023.11.01,shoes,11,COSTUMES
2023.11.02,shoes,11,COSTUMES
2023.11.03,shawl,11,2B.3
2023.11.04,dress,11,DEACC
2023.11.05,bodice,11,1C.2
2023.11.06,bodice,11,1C.2
